step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,163249.0998540817,1160325.9869197458,1462544.6883110222,0.0,1299295.5884569413,-7.566995918750763e-10
13,780.0,60.0,23.3478260869565,7.270000457763672,113845.09141280346,714771.4041854553,0.0,49404.008441278245,0.0,0.0
14,840.0,60.0,23.3478260869565,7.220000743865967,85053.89040898366,346213.35714283213,0.0,28791.201003819802,0.0,-1.4551915228366852e-11
15,900.0,60.0,23.3478260869565,7.1700005531311035,69385.01387908816,236189.11765490472,0.0,15668.876529895488,0.0,0.0
16,960.0,60.0,23.3478260869565,7.120000839233398,58925.84529394272,164917.0941303186,0.0,10459.168585145439,0.0,7.275957614183426e-12
17,1020.0,60.0,23.3478260869565,7.070000648498535,51399.95955431624,120111.87920518592,0.0,7525.885739626479,0.0,0.0
18,1080.0,60.0,23.3478260869565,7.020000457763672,45773.22661182998,94397.63939474896,0.0,5626.732942486267,0.0,0.0
19,1140.0,60.0,23.3478260869565,6.970000743865967,41381.917383442866,74689.66619563475,0.0,4391.309228387117,0.0,0.0
20,1200.0,60.0,23.3478260869565,6.9200005531311035,37840.58253824206,61169.69958259538,0.0,3541.334845200808,0.0,0.0
21,1260.0,60.0,23.3478260869565,6.870000839233398,34951.32949456082,51594.5339230597,0.0,2889.2530436812353,0.0,0.0
22,1320.0,60.0,23.3478260869565,6.820000648498535,32493.798136329395,43509.81270940602,0.0,2457.531358231421,0.0,0.0
23,1380.0,60.0,23.3478260869565,6.770000457763672,30409.96117915868,38195.42128914222,0.0,2083.8369571707235,0.0,0.0
24,1440.0,60.0,23.3478260869565,6.720000743865967,28575.668968423135,33633.7541764155,0.0,1834.2922107355416,0.0,3.637978807091713e-12
