run,peak_stored_volume_m3,peak_ponded_area_m2,peak_maximum_depth_m
current_uniform,375929.6480793891,2885865.944336548,7.320000648498535
plateau_base,323618.6804109247,2787431.502887375,7.320000648498535
plateau_low,310751.5028025635,2780539.037940088,7.320000648498535
plateau_high,336022.60000979697,2795122.7634411366,7.320000648498535
plateau_yardsgreen,280324.4299439383,2653393.6001210897,6.149998664855957
