step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,7.470000267028809,184570.00180482198,1405346.6601806134,1462544.6883110222,0.0,1277974.6865062013,-1.0477378964424133e-09
13,780.0,60.0,23.3478260869565,7.420000076293945,124800.68831930819,867419.196095258,0.0,59769.31348551379,0.0,2.9103830456733704e-11
14,840.0,60.0,23.3478260869565,7.37000036239624,90482.67073508233,394149.5992073417,0.0,34318.017584225854,0.0,-1.4551915228366852e-11
15,900.0,60.0,23.3478260869565,7.320000171661377,72702.31627239994,274400.15750569105,0.0,17780.35446268239,0.0,1.4551915228366852e-11
16,960.0,60.0,23.3478260869565,7.270000457763672,61202.26284247517,173949.84150400758,0.0,11500.053429924776,0.0,0.0
17,1020.0,60.0,23.3478260869565,7.220000267028809,53275.71808639814,123182.81751262024,0.0,7926.54475607702,0.0,0.0
18,1080.0,60.0,23.3478260869565,7.170000076293945,47502.94552293565,95586.72749762237,0.0,5772.7725634624985,0.0,0.0
19,1140.0,60.0,23.3478260869565,7.12000036239624,43010.799241183864,76752.26793694124,0.0,4492.14628175178,0.0,7.275957614183426e-12
20,1200.0,60.0,23.3478260869565,7.070000171661377,39370.862798390066,63428.124697119,0.0,3639.9364427938112,0.0,-7.275957614183426e-12
21,1260.0,60.0,23.3478260869565,7.020000457763672,36356.425897438945,53581.950515687466,0.0,3014.4369009511156,0.0,0.0
22,1320.0,60.0,23.3478260869565,6.970000267028809,33793.45746473681,46234.946212887764,0.0,2562.968432702126,0.0,7.275957614183426e-12
23,1380.0,60.0,23.3478260869565,6.920000076293945,31580.339748925035,40589.298430502415,0.0,2213.117715811786,0.0,0.0
24,1440.0,60.0,23.3478260869565,6.87000036239624,29627.67173620299,35560.85822830349,0.0,1952.6680127220457,0.0,-3.637978807091713e-12
