run,peak_stored_volume_m3,peak_ponded_area_m2,peak_maximum_depth_m
current_uniform,247987.94606957244,1903672.123509463,7.320000648498535
adopted_v1_base,213479.57062918865,1838738.8653434515,7.320000648498535
v2_bldg030,163732.1109493937,1160551.7972644195,7.320000648498535
v2_bldg050,174628.286635724,1275526.7474688329,7.320000648498535
v2_bldg070,184570.00180482198,1405346.6601806134,7.470000267028809
