step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,209337.06929838983,1831452.6159174778,1462544.6883110222,0.0,1253207.619012635,-2.561137080192566e-09
13,780.0,60.0,23.3478260869565,7.270000457763672,131311.32380501914,1139909.2416688018,0.0,78025.74549337069,0.0,0.0
14,840.0,60.0,23.3478260869565,7.220000743865967,88504.94028336747,362409.36282132566,0.0,42806.38352165169,0.0,0.0
15,900.0,60.0,23.3478260869565,7.1700005531311035,72531.26951478756,235915.76039914787,0.0,15973.670768579901,0.0,-1.4551915228366852e-11
16,960.0,60.0,23.3478260869565,7.120000839233398,61918.72347647289,164960.99784431607,0.0,10612.546038314667,0.0,7.275957614183426e-12
17,1020.0,60.0,23.3478260869565,7.070000648498535,54494.243902144764,119222.81387764588,0.0,7424.479574328129,0.0,0.0
18,1080.0,60.0,23.3478260869565,7.020000457763672,48952.24485763504,91837.58562906832,0.0,5541.999044509718,0.0,-7.275957614183426e-12
19,1140.0,60.0,23.3478260869565,6.970000743865967,44619.749421466106,75381.93282985315,0.0,4332.495436168938,0.0,7.275957614183426e-12
20,1200.0,60.0,23.3478260869565,6.9200005531311035,41061.74439130063,61681.41394812614,0.0,3558.0050301654665,0.0,-7.275957614183426e-12
21,1260.0,60.0,23.3478260869565,6.870000839233398,38107.310035124094,53160.08808234334,0.0,2954.4343561765463,0.0,0.0
22,1320.0,60.0,23.3478260869565,6.820000648498535,35589.6519823838,45241.194681204855,0.0,2517.6580527402944,0.0,0.0
23,1380.0,60.0,23.3478260869565,6.770000457763672,33410.62408612481,40152.59015618637,0.0,2179.02789625899,0.0,0.0
24,1440.0,60.0,23.3478260869565,6.720000743865967,31467.267773386462,36042.57126823068,0.0,1943.356312738343,0.0,3.637978807091713e-12
