run,peak_stored_volume_m3,peak_ponded_area_m2,peak_maximum_depth_m
v1_base,213479.57062918865,1838738.8653434515,7.320000648498535
road050_base,208770.0803423295,1832792.4146723822,7.320000648498535
v1_low,204991.36745775826,1834192.2482578456,7.320000648498535
road050_low,200392.82794402464,1827282.3312576264,7.320000648498535
v1_high,221662.18340732908,1843812.539781846,7.320000648498535
road050_high,216678.37705920628,1838934.9798686877,7.320000648498535
v1_yardsgreen,184919.73266314185,1750318.049421195,6.149998664855957
road050_yardsgreen,180009.8963933119,1729121.207385648,6.149998664855957
