step,elapsed_time_min,duration_min,rainfall_mm_hr,maximum_depth_m,stored_volume_m3,ponded_area_m2,input_m3,drained_m3,outflow_m3,balance_residual_m3
1,60.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,120.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,240.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,300.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,360.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,420.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,480.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,540.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,600.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,660.0,60.0,23.3478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,720.0,60.0,153.0,7.320000648498535,172348.25081421412,1268390.9795104004,1462544.6883110222,0.0,1290196.437496813,-4.889443516731262e-09
13,780.0,60.0,23.3478260869565,7.270000457763672,118386.17071264525,781406.9804492369,0.0,53962.08010156888,0.0,0.0
14,840.0,60.0,23.3478260869565,7.220000743865967,87253.1046534621,367065.74956861883,0.0,31133.06605918315,0.0,0.0
15,900.0,60.0,23.3478260869565,7.1700005531311035,70663.01271929806,251787.26380184293,0.0,16590.091934164026,0.0,0.0
16,960.0,60.0,23.3478260869565,7.120000839233398,59860.80266339057,167280.77272112295,0.0,10802.21005590749,0.0,0.0
17,1020.0,60.0,23.3478260869565,7.070000648498535,52233.276325689614,119991.51922367513,0.0,7627.526337700952,0.0,0.0
18,1080.0,60.0,23.3478260869565,7.020000457763672,46607.483578615545,94473.05539319664,0.0,5625.792747074078,0.0,-7.275957614183426e-12
19,1140.0,60.0,23.3478260869565,6.970000743865967,42199.31245092862,74991.03372945264,0.0,4408.171127686915,0.0,0.0
20,1200.0,60.0,23.3478260869565,6.9200005531311035,38637.573245124055,62238.98426859826,0.0,3561.739205804568,0.0,7.275957614183426e-12
21,1260.0,60.0,23.3478260869565,6.870000839233398,35703.43440949784,52197.06984105334,0.0,2934.1388356262205,0.0,0.0
22,1320.0,60.0,23.3478260869565,6.820000648498535,33213.81849867219,44187.67537030205,0.0,2489.6159108256493,0.0,0.0
23,1380.0,60.0,23.3478260869565,6.770000457763672,31089.35864105879,39038.82918638736,0.0,2124.459857613393,0.0,3.637978807091713e-12
24,1440.0,60.0,23.3478260869565,6.720000743865967,29205.53631473,34386.74824281037,0.0,1883.8223263287935,0.0,-7.275957614183426e-12
